name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,date_of_launch,expected_lifetime (in years),comments,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes
Tiangong-1 (TG-1),China (PR),   Beijing Aerospace Flight Control Center,Government,Technology Development,LEO,,2011-09-29,2,First of the three experimental single-module orbital stations (Space Laboratory) to be launched by China between 2011 and 2016 to develop and test a range of techniques required for building a permanently-manned space station.,0,329,340,0.00082,42.79,91.23
Tian Xun-1 (TX-1),China (PR),   NanjingÃ_UniversityÃ_ofÃ_AeronauticsÃ_andÃ_Astronautics,Civil,Technology Development,LEO,,2011-11-09,,"""Equipped with a 2.5 kg CCD camera that was built by Suzhou University, sporting a maximum resolution of 30 meters.""",0,480,490,0.000729,97.42,94.3
Electro-L1 (GOMS 2 [Geostationary Ioperational Meteorological Satellite 2],Russia,   Roshydromet - Planeta,Government,Meteorological,GEO,,2011-01-20,10,"""Satellite's position in GEO will yield real-time views of entire Earth disk -- wide swath of Asia, Middle East and Indian Ocean. Will also provide communciations for search-and-rescue services.""",76,"""35,323""","""35,750""",0.00509,0.46,1423.35
HYLAS 1 (Highly Adaptable Satellite),UK,"""Avanti Communications, PLC""",Commercial,Communications,GEO,,2010-11-26,15,Stated goal of providing broadband internet access to people in the areas hardest to reach by terrestrial connectivity means,-33.5,"""35,770""","""35,803""",0.000391,0.01,1436.07
AIM (Aeronomy of Ice in Mesosphere),USA,"""Center for Atmospheric Sciences, Hampton University/NASA""",Government,Earth Science,LEO,,2007-04-25,2,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,0,586,601,0.00108,97.79,96.55
"""Cubesat XI-IV (Oscar 57, CO-57)""",Japan,"Department of Astronautics, University of Tokyo",Civil,Technology Development,LEO,Sun-Synchronous,2003-06-30,,On-orbit verification of the super small satellite (nano-satellite) bus system using commercial-off-the-shell components.,0,822,828,0.000417,98.7,101.4
"""Cubesat XI-V (Oscar 58, CO-58)""",Japan,"Department of Astronautics, University of Tokyo",Civil,Technology Development,LEO,Sun-Synchronous,2005-10-27,,Backup for Cubesat II-IV.,0,682,708,0.00184,98.1,98.66
DirecTV-7S ,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,2004-05-04,15,Direct-to-home TV; 54 transponders.,-119.04,"""35,774""","""35,797""",0.000273,0.01,1436.1
DirecTV-1R ,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,1999-10-10,15,"""First commercial launch by Sea Launch consortium (American, Russian, Ukrainian companies); 16 Ku-band; video channels directly to home-based dishes; anticipated 50 million homes in North America.""",-72.48,"""35,778""","""35,795""",0.000202,0.03,1436.1
DirecTV-4S ,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,2001-11-27,15,Direct broadcasting; 48 Ku-band; 300 local TV channels to 41 metropolitan communities through 11 C-band transponders.,-101.15,"""35,780""","""35,792""",0.000142,0.05,1436.09
DirecTV-5 (Tempo 1),USA,"DirecTV, Inc.",Commercial,Communications,GEO,,2002-05-07,15,Digital television to North American subscribers; 32 Ku-band; direct broadcasting.,-110.05,"""35,773""","""35,799""",0.000308,0.07,1436.08
Spaceway F1,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,2005-04-26,12,17 Ku-band transponders; high definition.,-102.87,"""35,785""","""35,787""",0.0000237,0.05,1436.1
DirecTV-8,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,2005-05-22,12,36 Ku- and Ka-band transponders.,-100.81,"""35,777""","""35,796""",0.000225,0.02,1436.1
Spaceway F2,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,2005-11-16,12,17 Ku-band transponders; high definition.,-99.08,"""35,785""","""35,787""",0.0000237,0.04,1436.1
DirecTV-9S,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,2006-10-13,15,"""52 Ku-band and 2 Ka-band transponders; direct-to-home, voice, video and internet.""",-101.08,"""35,774""","""35,798""",0.000285,0.03,1436.1
DirecTV-10,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,2007-07-07,15,32 broad-beam Ka band; 55 spot-beam Ka-band transponders; will provide HDTV to CONUS.,-102.74,"""35,785""","""35,788""",0.0000356,0.04,1436.1
DirecTV-11,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,2008-03-19,,High definition channels for North America.,-99.21,"""35,786""","""35,786""",0,0.03,1436.1
DirecTV-12,USA,"DirecTV, Inc.",Commercial,Communications,GEO,,2009-12-29,15,High-definition for North America.,-102.8,"""35,785""","""35,786""",0.0000119,0.09,1436.04
Echostar 3 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,1997-10-05,12,Central/Mountain region to Eastern U.S.; 32 Ku-band transponders,-61.46,"""35,783""","""35,790""",0.000083,0.02,1436.11
Echostar 6 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,2000-07-14,12,"""CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders""",-72.71,"""35,775""","""35,798""",0.000273,0.07,1436.12
Echostar 7 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,2002-02-21,12,"""CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders""",-118.85,"""35,782""","""35,789""",0.000083,0.01,1436.07
Echostar 8 ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,2002-08-21,12,"""CONUS, Hawaii, Alaska and Puerto Rico; 32 Ku-band transponders""",-76.97,"""35,783""","""35,789""",0.0000712,0.01,1436.1
Echostar 12 (Rainbow-1) ,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,2003-07-17,18,Direct-to-home television services; cable's attempt to compete with dish networks.,-61.63,"""35,782""","""35,791""",0.000107,0.06,1436.11
Echostar 10,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,2006-02-15,15,"""Direct-to-home transmission of voice, video and internet.""",-110.07,"""35,780""","""35,792""",0.000142,0.06,1436
Echostar 11,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,2008-07-16,15,Direct-to-home television.,-109.97,"""35,778""","""35,793""",0.000178,0.03,1436.1
Echostar 14,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,2010-03-20,15,Direct-to-home over CONUS.,-119,"""35,785""","""35,789""",0.0000474,0.05,1436.11
Echostar 15,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,2010-07-10,15,Direct-to-home over CONUS.,-61.5,"""35,789""","""35,803""",0.000166,0.07,1436.57
"""Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)""",USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,,2003-08-08,13,"""24 C-band, 2 Ka-band, 32 Ku-band; additional C-band payload owned and operated by Loral Skynet.""",-121.02,"""35,775""","""35,797""",0.000261,0.01,1436.08
"""Grace 1 (Gravity Recovery and Climate Experiment, """"Tom and Jerry"""")""",Germany/USA,"""GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas""",Civil,Earth Science,LEO,Polar,2002-03-17,5,"""Map gravitational mini-variations caused by sea-level changes, glaciers and melting/freezing of ice sheets by measuring distance between satellites.""",0,482,506,0.00175,89,94.49
"""Grace 2 (Gravity Recovery and Climate Experiment, """"Tom and Jerry"""")""",Germany/USA,"""GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas""",Civil,Earth Science,LEO,Polar,2002-03-17,5,"""Map gravitational mini-variations caused by sea-level changes, glaciers and melting/freezing of ice sheets by measuring distance between satellites.""",0,482,507,0.00182,89,94.5
Horizons 2,USA/Japan,"""Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation)""",Commercial,Communications,GEO,,2007-12-21,15,"""Joint venture between Intelsat and JSAT; 20 Ku-band transponders, services to the US, Canada and Japan.""",85,"""35,777""","""35,796""",0.000225,0,1436.1
